time/h,Ewe/V
10.25746,4.61141
10.26579,4.61196
10.27413,4.61239
10.28246,4.61288
10.29079,4.6134
10.29913,4.61389
10.30746,4.61427
10.31579,4.615
10.32413,4.61551
10.33246,4.61602
10.34079,4.61641
10.34913,4.61701
10.35746,4.6175
10.36579,4.61796
10.37413,4.61865
10.38246,4.61915
10.39079,4.61967
10.39913,4.62014
10.40746,4.62075
10.41579,4.62126
10.42413,4.62186
10.43246,4.62237
10.44079,4.6227
10.44913,4.62347
10.45746,4.62408
10.46579,4.62464
10.47413,4.62519
10.48246,4.62563
10.49079,4.62635
10.49913,4.6269
10.50746,4.62737
10.51579,4.62805
10.52413,4.62872
10.53246,4.62936
10.54079,4.62993
10.54913,4.63072
10.55746,4.63125
10.56579,4.6321
10.57413,4.63286
10.58246,4.63354
10.59079,4.63413
10.59913,4.63488
10.60746,4.63558
10.61579,4.63632
10.62413,4.63707
10.63246,4.6378
10.64079,4.63846
10.64913,4.6393
10.65746,4.6399
10.66579,4.64069
10.67413,4.64148
10.68246,4.64217
10.69079,4.64293
10.69913,4.64383
10.70746,4.64453
10.71579,4.6453
10.72413,4.64616
10.73246,4.64694
10.74079,4.64781
10.74913,4.64865
10.75746,4.64961
10.76579,4.65047
10.77413,4.65136
10.78246,4.65238
10.79079,4.65322
10.79913,4.65416
10.80746,4.65516
10.81579,4.65597
10.82413,4.65698
10.83246,4.65807
10.84079,4.65894
10.84913,4.65987
10.85746,4.6609
10.86579,4.66177
10.87413,4.66287
10.88246,4.66393
10.89079,4.66495
10.89913,4.66583
10.90746,4.66682
10.91579,4.66786
10.92413,4.66897
10.93246,4.67001
10.94079,4.67112
10.94913,4.67219
10.95746,4.6733
10.96579,4.67446
10.97413,4.67553
10.98246,4.67686
10.99079,4.67791
10.99913,4.67907
11.00746,4.68037
11.01579,4.68156
11.02413,4.68285
11.03246,4.68406
11.04079,4.68551
11.04913,4.68679
11.05746,4.68809
11.06579,4.6895
11.07413,4.69084
11.08246,4.69225
11.09079,4.69365
11.09913,4.69512
11.10746,4.69642
11.11579,4.69802
11.12413,4.69933
11.12716,4.70006
11.12716,4.69999
11.12716,4.69272
11.12722,4.68269
11.12729,4.67265
11.12738,4.66258
11.12747,4.65257
